"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,67.53271,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,67.75233,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,67.85927,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,68.02296,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,68.16859,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,68.09197,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,68.38206,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,75.46397,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,74.96887,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,75.08615,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,75.05299,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,75.34565,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,75.24417,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,75.62089,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,75.45068,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,75.655,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,76.20017,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,76.04401,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,76.74666,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,71.17232,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,70.89333,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,71.16051,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,71.19701,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,71.42553,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,71.39753,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,71.69445,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,71.66193,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,71.84239,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,72.18646,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,72.06718,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,72.55966,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,58.26373,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,57.69991,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,58.01155,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,58.15047,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,57.82135,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,57.3702,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,57.68888,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,59.45681,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,57.75436,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,58.54918,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,58.98497,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,59.52513,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,65.93144,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,65.0861,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,65.9575,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,65.13426,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,65.7658,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,66.61462,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,66.40135,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,67.03743,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,67.06697,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,67.24798,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,67.54553,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,68.29848,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,62.11145,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,61.41676,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,61.99918,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,61.66153,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,61.81636,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,62.01936,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,62.05898,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,63.25977,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,62.42897,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,62.92396,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,63.27455,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,63.91323,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,69.5,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,69.4,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,69.46667,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,69.43333,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,69.56667,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,69.73333,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,69.7,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,69.96667,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,70.26667,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,70.46667,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,70.63333,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,71.13333,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,70.63333,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,75.56667,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,75.63333,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,75.8,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,75.43333,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,75.3,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,75.3,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,75.3,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,75.8,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,76.16666,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,76.2,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,76.23333,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,76.6,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,76.7,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,72.53333,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,72.53333,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,72.63333,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,72.43333,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,72.43333,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,72.53333,,
